mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__learning_rate,param_classifier__max_iter,param_classifier__max_leaf_nodes,param_classifier__min_samples_leaf,params,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,split0_test_pr_auc,split1_test_pr_auc,split2_test_pr_auc,split3_test_pr_auc,split4_test_pr_auc,mean_test_pr_auc,std_test_pr_auc,rank_test_pr_auc,split0_test_recall_fpr_0p1,split1_test_recall_fpr_0p1,split2_test_recall_fpr_0p1,split3_test_recall_fpr_0p1,split4_test_recall_fpr_0p1,mean_test_recall_fpr_0p1,std_test_recall_fpr_0p1,rank_test_recall_fpr_0p1
4.035629558563232,0.40317939187551555,0.45492029190063477,0.08767927879129901,0.08116262258099886,448,29,15,"{'classifier__learning_rate': np.float64(0.08116262258099886), 'classifier__max_iter': 448, 'classifier__max_leaf_nodes': 29, 'classifier__min_samples_leaf': 15}",0.9864804196265363,0.9570585829129229,0.9630500235133052,0.9943690503685606,0.9769153604492294,0.9755746873741108,0.013954739767311179,7,0.7885500131162513,0.749861272878238,0.71158105856034,0.7901405757450934,0.7538453647891961,0.7587956570178237,0.02898748887867002,10,0.0,0.759493670886076,0.0,0.0,0.0,0.1518987341772152,0.3037974683544304,29
3.6365780353546144,0.20036512813651913,0.3073567390441895,0.02885883818214222,0.15814129005182617,120,33,27,"{'classifier__learning_rate': np.float64(0.15814129005182617), 'classifier__max_iter': 120, 'classifier__max_leaf_nodes': 33, 'classifier__min_samples_leaf': 27}",0.9872338794543186,0.9395913971912034,0.9424786641103484,0.9914714876826455,0.9601894699349698,0.9641929796746972,0.0217613304425562,24,0.7937595520521564,0.757417358600088,0.7167225346653704,0.7872866797147751,0.759269255013388,0.7628910760091555,0.027285973219921867,1,0.8333333333333334,0.759493670886076,0.8227848101265823,0.8987341772151899,0.8227848101265823,0.8274261603375528,0.04422134179434228,4
5.643671369552612,0.5271674641927476,0.6985983848571777,0.10618385863007869,0.021035886311957897,187,38,7,"{'classifier__learning_rate': np.float64(0.021035886311957897), 'classifier__max_iter': 187, 'classifier__max_leaf_nodes': 38, 'classifier__min_samples_leaf': 7}",0.9783083326146791,0.9405494600287724,0.9403674753945087,0.992029546067991,0.9585260079416535,0.961956164409521,0.02053234593811194,25,0.7312144473134712,0.7426685417965628,0.6826995815198779,0.7910830873069583,0.7385658763406513,0.7372463068555042,0.03447105858291943,37,0.0,0.759493670886076,0.0,0.9113924050632911,0.810126582278481,0.4962025316455696,0.4080899580680483,19
6.846123218536377,0.5495733543393436,0.9777713775634765,0.0895990883644332,0.013911053916202464,357,38,16,"{'classifier__learning_rate': np.float64(0.013911053916202464), 'classifier__max_iter': 357, 'classifier__max_leaf_nodes': 38, 'classifier__min_samples_leaf': 16}",0.9806278954022464,0.9510519769263519,0.9327248164153479,0.9922353222714131,0.9654451806072276,0.9644170383245173,0.021074760644975044,23,0.729765389162903,0.7434495902660625,0.6818903165102904,0.7915827907555356,0.7301510683641053,0.7353678310117794,0.035053910070305984,39,0.0,0.759493670886076,0.0,0.0,0.810126582278481,0.3139240506329114,0.3848101265822785,25
2.9642091274261473,0.13993918261298843,0.2329026699066162,0.01136617455177157,0.18832501471299254,485,35,5,"{'classifier__learning_rate': np.float64(0.18832501471299254), 'classifier__max_iter': 485, 'classifier__max_leaf_nodes': 35, 'classifier__min_samples_leaf': 5}",0.9890675754967593,0.9451593200341708,0.903310089016643,0.9957326829376885,0.9677622846584728,0.9602063904287469,0.03351352098007026,26,0.7885657414418324,0.7527285513785582,0.7108836839334244,0.7934742158334069,0.7523313853299082,0.7595967155834261,0.02986571826741908,6,0.8333333333333334,0.759493670886076,0.8227848101265823,0.8860759493670886,0.810126582278481,0.8223628691983123,0.04069925924654004,5
3.6074992656707763,0.26626360531297333,0.3952301502227783,0.04372631940772792,0.06780602616231217,121,39,21,"{'classifier__learning_rate': np.float64(0.06780602616231217), 'classifier__max_iter': 121, 'classifier__max_leaf_nodes': 39, 'classifier__min_samples_leaf': 21}",0.9670513863266275,0.9443353804285821,0.9304276082377265,0.9841172493050359,0.9598666837335236,0.9571596616062992,0.01849838147676969,30,0.7802041221338478,0.7382041626554534,0.7036070513904151,0.789791258568406,0.7387907880228071,0.7501194765541859,0.03134535299402248,30,0.8205128205128205,0.759493670886076,0.0,0.8987341772151899,0.810126582278481,0.6577734501785135,0.33189473227276783,15
3.1612031936645506,0.18003277883073934,0.35191998481750486,0.06297507756212098,0.10970718544909393,269,42,20,"{'classifier__learning_rate': np.float64(0.10970718544909393), 'classifier__max_iter': 269, 'classifier__max_leaf_nodes': 42, 'classifier__min_samples_leaf': 20}",0.9663156814901117,0.9404658417067598,0.9111781418088831,0.9740260065503337,0.9679195037996944,0.9519810350711566,0.023422098188150005,32,0.7678487834983128,0.7398944749964745,0.7113994059180653,0.7925235671989095,0.7402727301651678,0.7503877923553859,0.027614591080260965,29,0.8205128205128205,0.759493670886076,0.7974683544303798,0.8987341772151899,0.8227848101265823,0.8197987666342097,0.04555343511668983,6
3.9287362098693848,0.1658832919264289,0.4574731826782227,0.05658073667070264,0.054226554681757806,545,17,9,"{'classifier__learning_rate': np.float64(0.054226554681757806), 'classifier__max_iter': 545, 'classifier__max_leaf_nodes': 17, 'classifier__min_samples_leaf': 9}",0.9899303835247208,0.9726947917333341,0.9621193696764625,0.9924562638610239,0.9805028786407362,0.9795407374872556,0.011189748089739266,1,0.7860081799390923,0.7341670793016108,0.7191589020803737,0.7841472543424214,0.7367970625625774,0.7520556956452151,0.027632107536086487,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32
3.0604429721832274,0.06292106396917471,0.3597412586212158,0.04363226357488197,0.1254335218612733,120,23,11,"{'classifier__learning_rate': np.float64(0.1254335218612733), 'classifier__max_iter': 120, 'classifier__max_leaf_nodes': 23, 'classifier__min_samples_leaf': 11}",0.9900894738829715,0.9708649278878931,0.9510621335611388,0.9953666266894101,0.9694660949269694,0.9753698513896765,0.01589057664713801,8,0.792709500916317,0.7469464051142332,0.7085971774097908,0.7849161561301311,0.7429249823441396,0.7552188443829223,0.030596182045975046,16,0.0,0.759493670886076,0.0,0.0,0.8481012658227848,0.3215189873417722,0.39477439053206675,23
7.188098526000976,0.16742345178153492,0.8798749446868896,0.03705332624775397,0.01252034262037464,188,28,22,"{'classifier__learning_rate': np.float64(0.01252034262037464), 'classifier__max_iter': 188, 'classifier__max_leaf_nodes': 28, 'classifier__min_samples_leaf': 22}",0.988032290410783,0.950360490968943,0.9653992670527117,0.9930652445522874,0.968024548447148,0.9729763682863746,0.015643878229555822,16,0.7659885352575345,0.7508906353839838,0.7043681952226686,0.7912995657145321,0.746590383580228,0.7518274630317894,0.028422771170247503,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32
